gene	tpm
YBR037C	41.8165
YBR038W	16.57402
YBR039W	130.9032
YBR040W	1.00331
YBR041W	40.80716
YBR042C	36.826
YBR043C	18.6158
YBR044C	20.2135
YBR045C	3.34958
YBR046C	38.506
YBR047W	13.81231
YBR048W	475.0136
YBR049C	41.28559
YBR050C	14.26071
YBR051W	0
YBR052C	198.9989
YBR053C	106.8876
YBR054W	244.5966
YBR055C	23.43376
YBR056C-B	0
YBR056W	54.310000012864
YBR056W-A	62.9135
YBR057C	36.7804
YBR058C	49.5905
YBR058C-A	84.0417
YBR059C	46.11
YBR060C	25.87510001851
YBR061C	48.2542
YBR062C	97.2438
YBR063C	23.9276
YBR064W	0
YBR065C	13.70013
YBR066C	18.7076
YBR067C	445.248
YBR068C	271.616
YBR069C	145.743
YBR070C	28.30693
YBR071W	73.5736
YBR072C-A	0
YBR072W	5415.47
YBR073W	39.5978
YBR074W	46.6962
YBR076C-A	14.5845
YBR076W	0
YBR077C	42.3578
YBR078W	449.6691
YBR079C	98.03540058587
YBR080C	64.4569
YBR081C	19.8886
YBR082C	587.105
YBR083W	37.1326
YBR084C-A	567.4207
YBR084W	85.2039
YBR085C-A	341.5884
YBR085W	9.79744
YBR086C	76.3129
YBR087W	40.4341
YBR088C	47.18356
YBR089C-A	112.377000040498
YBR089W	7.61385
YBR090C	36.3252
YBR091C	64.7221
YBR092C	134.4065
YBR093C	8.27765
YBR094W	25.64013
YBR095C	31.9379000219013
YBR096W	149.53635
YBR097W	13.3215
YBR098W	5.91656
YBR099C	0
YBR101C	86.3109
YBR102C	19.7557
YBR103C-A	9.74362
YBR103W	16.03927
YBR104W	23.40751
YBR105C	234.1012
YBR106W	399.186
YBR107C	18.90044
YBR108W	11.898802
YBR109C	287.5776
YBR109W-A	0.1828
YBR110W	53.6384
YBR111C	174.497
YBR111W-A	31.55825
YBR112C	17.79406
YBR113W	16.8706
YBR114W	60.1854
YBR115C	41.6405
YBR116C	9.32073
YBR117C	8.68131
YBR118W	6772.77
YBR119W	14.22181
YBR120C	16.19438
YBR121C	145.782
YBR121C-A	80.5586
YBR122C	102.3252
YBR123C	15.49283
YBR124W	4.45041
YBR125C	44.30291
YBR126C	199.2768
YBR126W-A	490.652
YBR126W-B	214.9787
YBR127C	340.481
YBR128C	8.35052257473
YBR129C	39.6138
YBR130C	30.5185
YBR131C-A	0
YBR131W	15.62326
YBR132C	27.3965
YBR133C	27.7152
YBR134W	0.159484
YBR135W	108.7205
YBR136W	14.3336
YBR137W	79.7375
YBR138C	5.38466
YBR139W	120.5225
YBR140C	38.3758
YBR141C	24.0414
YBR141W-A	10.7101
YBR142W	63.66053423
YBR143C	195.7621
YBR144C	11.9508
YBR145W	17.79333
YBR146W	75.8129
YBR147W	5.35301
YBR148W	2.42726
YBR149W	241.36
YBR150C	17.5301
YBR151W	101.8537
YBR152W	14.872
YBR153W	29.5195
YBR154C	156.28832
YBR155W	41.1809
YBR156C	6.97998
YBR157C	52.2092
YBR158W	238.9634
YBR159W	83.8781
YBR160W	56.4778
YBR161W	12.73736
YBR162C	168.9884
YBR162W-A	85.3182
YBR163W	22.6286883329
YBR164C	64.5491
YBR165W	41.8953
YBR166C	47.30208
YBR167C	27.6802
YBR168W	18.0966
YBR169C	133.5256
YBR170C	75.5698
YBR171W	131.9937
YBR172C	53.8138
YBR173C	307.329
YBR174C	9.75591
YBR175W	55.0276
YBR176W	26.52997
YBR177C	72.84097
YBR178W	1.31415
YBR179C	22.9536
YBR180W	3.97965
YBR181C	491.7041
YBR182C	13.0754
YBR182C-A	19.4012
YBR183W	19.35063
YBR184W	1.80596
YBR185C	35.65259
YBR186W	3.36152
YBR187W	24.63941
YBR188C	27.207105
YBR189W	693.5337
YBR190W	1.01478
YBR191W	772.4448
YBR191W-A	16.985
YBR192W	34.15737
YBR193C	27.1495
YBR194W	31.7006
YBR195C	24.64912
YBR196C	1324.437
YBR196C-A	5.78051
YBR196C-B	706.173
YBR197C	28.7105
YBR198C	25.9257
YBR199W	88.11820389724
YBR200W	36.93946
YBR200W-A	12.6061
YBR201C-A	10.4613
YBR201W	24.87084
YBR202W	32.6464000531501
YBR203W	22.3734
YBR204C	25.1726
YBR205W	42.0479
YBR206W	41.08969
YBR207W	58.94043
YBR208C	23.4374
YBR209W	9.19155
YBR210W	51.56835
YBR211C	31.057
YBR212W	30.2546
YBR213W	4.86783
YBR214W	16.39678
YBR215W	9.2112
YBR216C	19.61424
YBR217W	17.4038
YBR218C	74.725097
YBR219C	0
YBR220C	24.1161
YBR221C	154.6698
YBR221W-A	6.47865
YBR222C	77.244
YBR223C	12.5517
YBR223W-A	0
YBR224W	1.77248
YBR225W	14.9889
YBR226C	16.3232
YBR227C	28.9062
YBR228W	21.13543
YBR229C	56.9784
YBR230C	87.0907
YBR230W-A	15.338
YBR231C	15.11637
YBR232C	3.4474
YBR233W	13.12309
YBR233W-A	28.9714
YBR234C	118.5292
YBR235W	23.8278
YBR236C	44.8737
YBR237W	12.86446
YBR238C	43.6745
YBR239C	15.3625
YBR240C	5.33385
YBR241C	26.21632
YBR242W	17.1474
YBR243C	22.86814
YBR244W	41.8861
YBR245C	34.8196
YBR246W	64.4645
YBR247C	75.1172
YBR248C	57.3574
YBR249C	122.0739
YBR250W	3.02445
YBR251W	33.2105
YBR252W	60.9747
YBR253W	46.5779
YBR254C	40.7632
YBR255C-A	41.7896
YBR255W	14.4394
YBR256C	104.8542
YBR257W	25.7481
YBR258C	18.561
YBR259W	15.37348
YBR260C	33.5028
YBR261C	84.03240044196
YBR262C	79.19306
YBR263W	96.193
YBR264C	25.10567
YBR265W	66.0075
YBR266C	2.55325
YBR267W	83.9989
YBR268W	95.6312
YBR269C	86.2217
YBR270C	12.4913
YBR271W	28.1781
YBR272C	26.4873747
YBR273C	44.8721
YBR274W	24.78934
YBR275C	11.7326
YBR276C	31.63676
YBR277C	1.99613
YBR278W	14.5135000040485
YBR279W	44.7298
YBR280C	15.188216
YBR281C	25.07674
YBR282W	47.13958
YBR283C	156.7641
YBR284W	11.6764
YBR285W	9.16083
YBR286W	551.341
YBR287W	112.4578
YBR288C	25.21349
YBR289W	10.1339
YBR290W	44.69299
YBR291C	18.11081
YBR292C	6.31078
YBR293W	23.0324
YBR294W	15.0123
YBR295W	15.7683
YBR296C	18.0162
YBR296C-A	102.779
YBR297W	32.8564
YBR298C	15.6442
YBR298C-A	7.27355
YBR299W	9.88747
YBR300C	1.6367
YBR301W	3.71652
YBR302C	33.9311
YCL001W	97.2863
YCL001W-A	6.06951
YCL001W-B	14.7786
YCL002C	28.642
YCL004W	10.27375
YCL005W	29.23189
YCL005W-A	236.268
YCL007C	0
YCL008C	10.672
YCL009C	103.5271
YCL010C	12.09813076
YCL011C	66.1276
YCL012C	48.92109
YCL014W	19.4034
YCL016C	18.96563
YCL017C	76.7296
YCL018W	0
YCL019W	17.5497
YCL020W	0
YCL021W-A	69.6666
YCL022C	2.86218
YCL023C	1.85299
YCL024W	7.15377
YCL025C	37.7738
YCL026C-A	5.86939
YCL026C-B	37.4274
YCL027W	13.6137
YCL028W	103.6884
YCL029C	22.91875
YCL030C	46.69
YCL031C	100.0640333506
YCL032W	20.96271
YCL033C	70.46865
YCL034W	51.7583
YCL035C	333.851
YCL036W	41.8971
YCL037C	34.5045
YCL038C	16.01772
YCL039W	10.1789
YCL040W	391.317
YCL041C	1.49715
YCL042W	8.27429
YCL043C	1132.795
YCL044C	11.9635
YCL045C	80.78042233
YCL046W	10.0317
YCL047C	33.045
YCL048W	1.37428
YCL048W-A	47.2922
YCL049C	82.5158
YCL050C	298.5824
YCL051W	22.51351
YCL052C	52.9615
YCL054W	53.17703
YCL054W-A	126.605
YCL055W	46.0702
YCL056C	24.1195
YCL057C-A	106.5577
YCL057W	131.6237
YCL058C	10.8188
YCL058W-A	3.93782
YCL059C	59.5704
YCL061C	6.98457
YCL063W	20.29636
YCL064C	176.2707
YCL065W	0
YCL066W	0.126332
YCL067C	12.0581
YCL068C	0
YCL069W	0
YCL073C	0
YCL076W	0
YCR001W	11.5524
