"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YOR362C",8.49044387872739,7.84019573091349,174.366860080729,1.1607586605607e-17,1.55353134144156e-15,29.245398826313
"YGL151W",6.57941632881722,6.64223035326386,158.992563367342,2.73779902879497e-17,1.55353134144156e-15,29.2429479238144
"YJR042W",6.55472168512099,6.65245253015487,158.735235149492,2.77933574155765e-17,1.55353134144156e-15,29.2343442889889
"YLR247C",7.86025450561176,7.39343379941464,166.428646359076,1.79003709440573e-17,1.55353134144156e-15,29.2316852967784
"YER167W",7.10937708438477,7.09547729532714,160.380363338828,2.5253113307572e-17,1.55353134144156e-15,29.2310655182767
"YKL176C",7.14172554189827,7.2765301801606,159.840093021065,2.60578121755891e-17,1.55353134144156e-15,29.2045910247715
"YGR180C",8.55330490922442,8.92806642993378,173.631225330332,1.20728933314012e-17,1.55353134144156e-15,29.2022740943813
"YNL247W",7.68008502433086,8.13011530542199,163.423273577381,2.12047764802202e-17,1.55353134144156e-15,29.1901094471507
"YGR100W",6.44536033647603,6.36850747342462,157.527295045018,2.98387414014353e-17,1.55353134144156e-15,29.1896122924156
"YBL056W",7.61091635663104,7.51756635168318,162.619895349831,2.21988012299592e-17,1.55353134144156e-15,29.1832416742121
"YJR126C",6.99403767335117,6.97614229775214,158.463827527643,2.82390281955962e-17,1.55353134144156e-15,29.1803966186938
"YLR115W",6.28399716028128,6.18792664059961,157.367966144892,3.01207582631567e-17,1.55353134144156e-15,29.177315418469
"YKL157W",8.68862206502649,8.51879066948439,174.427083446317,1.15703825437371e-17,1.55353134144156e-15,29.173293254985
"YHR132C",6.9403088151936,6.98282497513765,157.920128302952,2.91558267316141e-17,1.55353134144156e-15,29.1680558229406
"YKL145W",8.30840158829546,7.72561556782186,169.355473273566,1.5222233018314e-17,1.55353134144156e-15,29.1669941036167
"YBR084W",8.20365865161705,8.7994219947675,168.031215735233,1.63746488582186e-17,1.55353134144156e-15,29.1643014663524
"YMR129W",7.9235324973671,8.08375096347983,164.711130563317,1.97125450378678e-17,1.55353134144156e-15,29.155162763337
"YGL013C",7.71588055863883,7.28754447173826,162.556138349326,2.22798715219093e-17,1.55353134144156e-15,29.1488188993385
"YMR318C",8.64265176118607,8.71844955411143,172.941814101663,1.25277758751954e-17,1.55353134144156e-15,29.1482712558317
"YJL054W",6.73957881758228,6.59747805697242,156.603930386213,3.15147874731665e-17,1.55353134144156e-15,29.1408054630794
"YIL041W",7.80201622426212,7.74031294846578,163.055787445567,2.16532160569059e-17,1.55353134144156e-15,29.1394446933803
"YBR276C",6.41630024541512,6.65056195471569,155.986773734093,3.26930686534322e-17,1.55353134144156e-15,29.1289380256399
"YFL036W",7.38703811494338,7.41201320591227,159.217905789766,2.70198945175936e-17,1.55353134144156e-15,29.1249824643158
"YNL297C",7.26946225288283,7.45164137748858,158.346668677433,2.84338523196455e-17,1.55353134144156e-15,29.1219235322671
"YKR001C",8.00129710818796,8.07857311764393,164.323707720632,2.01488427160812e-17,1.55353134144156e-15,29.1168065855115
"YER019C-A",7.09911543958329,7.26973784023194,157.073229393423,3.06502655261114e-17,1.55353134144156e-15,29.1094577987906
"YPR091C",6.94966406101863,6.8854976743842,156.415781162897,3.18689430588596e-17,1.55353134144156e-15,29.1090624844237
"YGR244C",6.97797470072385,6.91120869212811,156.259865729384,3.21657657558611e-17,1.55353134144156e-15,29.0986992303909
"YPR122W",6.87529394641705,7.06586171610558,155.85816699082,3.29447005188085e-17,1.55353134144156e-15,29.0982293775089
"YER105C",7.97634885152726,8.15791402670521,163.461083300605,2.11592243533529e-17,1.55353134144156e-15,29.096575022305
"YKL104C",8.97824074333983,8.70949967894054,175.662485564013,1.08355991377034e-17,1.55353134144156e-15,29.0954473934794
"YGR184C",8.70881824299474,8.60230139823324,171.786204518317,1.33334532415343e-17,1.55353134144156e-15,29.0917365484674
"YOR335C",9.04871875760212,9.50291269787852,176.192372476778,1.0536401521528e-17,1.55353134144156e-15,29.0824571772148
"YGL202W",8.31829294995912,8.6413157187247,166.520980373765,1.78083125183355e-17,1.55353134144156e-15,29.0770211205053
