"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YBR058C",6.98618631919876,6.90178750070767,155.738796870264,3.9966689945701e-17,1.75631491453673e-15,28.9101569381863
"YER105C",7.96384696081911,8.14413324241149,163.070023318654,2.61249265629527e-17,1.75631491453673e-15,28.903874505737
"YGL202W",8.30487772038164,8.62731152899479,166.605166447115,2.14271407043811e-17,1.75631491453673e-15,28.8972450150904
"YCR077C",7.54765525775487,7.60214499391281,159.01351159962,3.29739668588326e-17,1.75631491453673e-15,28.8964726060464
"YPL031C",6.11563943327522,5.93390864923385,154.200349410481,4.38073178156049e-17,1.75631491453673e-15,28.8793313706988
"YHR132C",6.93342077847595,6.98116985088202,154.465395683839,4.31174683893502e-17,1.75631491453673e-15,28.8695121375221
"YOR141C",6.63806249296767,6.60784658934307,153.605890456179,4.53994616341496e-17,1.75631491453673e-15,28.8693452270159
"YOR335C",9.04192845331622,9.49570989764528,175.248636841284,1.34254852466357e-17,1.75631491453673e-15,28.8657808341703
"YML086C",6.87296580997949,7.02712800832895,154.143654796649,4.39564623357998e-17,1.75631491453673e-15,28.8656798228733
"YCL028W",7.01873539186249,7.13835143015179,154.650917333472,4.26417652367427e-17,1.75631491453673e-15,28.8621132071423
"YGR244C",6.96784943684057,6.90501359394726,154.315162136926,4.35069986402378e-17,1.75631491453673e-15,28.8578292207327
"YER025W",8.31676411148763,8.5249033035096,165.279999466514,2.30685349881589e-17,1.75631491453673e-15,28.8513794077009
"YOL038W",8.188448350535,7.63637786126326,163.624205807508,2.53184193197138e-17,1.75631491453673e-15,28.8440640239231
"YDR234W",6.91235732502633,7.3737086769809,153.701988353493,4.51377931743797e-17,1.75631491453673e-15,28.8424761486158
"YMR247C",7.26992229563714,7.55191181675561,155.501143781127,4.05348018537937e-17,1.75631491453673e-15,28.8422393998753
"YJR117W",7.70423719754242,7.31911919260286,158.780663506699,3.34236095438649e-17,1.75631491453673e-15,28.8402829756451
"YIL137C",7.13786787760245,7.26818006634252,154.613423873239,4.27374327710449e-17,1.75631491453673e-15,28.8381056537253
"YGL019W",6.50225194445798,6.51810355763628,152.629529954914,4.81554745806021e-17,1.75631491453673e-15,28.8366559672116
"YHR072W",6.45650557848546,6.78876291025559,152.336984734768,4.90169748705949e-17,1.75631491453673e-15,28.8252904598019
"YOR124C",7.90837530831358,7.77358679163886,160.033513627275,3.10817302165583e-17,1.75631491453673e-15,28.8194688735289
"YDR389W",6.88377047081923,7.02405439465778,152.960254725612,4.72016901663453e-17,1.75631491453673e-15,28.8168680609044
"YLR203C",7.11180089507152,6.96458109051817,153.900803058822,4.46017223095437e-17,1.75631491453673e-15,28.8154164563283
"YGL173C",9.37187205128151,9.46135569736792,178.268581446828,1.14642033747332e-17,1.75631491453673e-15,28.8151535174483
"YLL043W",6.55303965927983,6.72801446147632,152.071521758713,4.98135210361596e-17,1.75631491453673e-15,28.8125172401996
"YBR041W",6.60381935825929,6.7009125783562,152.012756970054,4.99917827736691e-17,1.75631491453673e-15,28.8071481054772
"YER086W",7.17106763017269,7.73579762725454,153.961474142743,4.44395406532154e-17,1.75631491453673e-15,28.8052359829684
"YGR229C",7.74722471689252,7.62388079834925,158.169246003695,3.46369754140555e-17,1.75631491453673e-15,28.8046123138154
"YBL017C",8.57048306658326,8.7222099788065,166.592268725914,2.14424787187697e-17,1.75631491453673e-15,28.8009308014733
"YNR051C",7.8643971522046,7.58210317504442,159.064725117625,3.28759724968512e-17,1.75631491453673e-15,28.7989289486749
"YGL112C",6.43176271414022,6.56112063536646,151.62721493071,5.11789980961177e-17,1.75631491453673e-15,28.7962267665969
"YJL026W",8.28398513193502,8.61811312029414,162.935798567648,2.6324520992294e-17,1.75631491453673e-15,28.7885013263323
"YOR197W",7.33992847115949,7.50208035765977,154.544870507979,4.29129677141659e-17,1.75631491453673e-15,28.7878459401075
"YLR371W",7.07763675290491,7.10557486662179,152.774906229293,4.77336151669806e-17,1.75631491453673e-15,28.7772097949664
"YLR270W",6.6887216949748,6.08686750313512,151.40806171961,5.18677506382871e-17,1.75631491453673e-15,28.775835802158
"YJR125C",6.58360293387435,6.32758297212,151.208530462515,5.25037770507352e-17,1.75631491453673e-15,28.7754666394214
"YJR109C",7.19962639402851,7.41922388697486,153.361003685212,4.60739048428001e-17,1.75631491453673e-15,28.7752690660277
"YDR422C",6.54771531732033,6.55665354873866,151.113688226342,5.28091228842693e-17,1.75631491453673e-15,28.7733024723204
"YGR125W",6.69221988316946,6.8065981583568,151.337720903014,5.20909896082844e-17,1.75631491453673e-15,28.7725734107364
"YDL205C",6.35987828571901,6.49024740106748,151.016457231444,5.31242035255101e-17,1.75631491453673e-15,28.7702334052972
"YDR128W",7.15952170585445,7.12619614877254,152.999725447123,4.70892648895253e-17,1.75631491453673e-15,28.7695124807434
"YJR001W",6.88375816886837,6.9404414579851,151.746365607462,5.08087898731998e-17,1.75631491453673e-15,28.7676266575943
"YLR208W",7.58405424319414,7.59371525352181,155.742959357853,3.99568184250469e-17,1.75631491453673e-15,28.7658360398624
"YOR336W",7.68076878744877,7.61700689112282,156.309221674465,3.86387498998295e-17,1.75631491453673e-15,28.7582446111566
"YJL129C",6.98268456555637,7.20278473816066,151.805900732112,5.06249232729322e-17,1.75631491453673e-15,28.7549843805419
"YER080W",7.44073980474551,7.21297170464489,154.295867465132,4.35573084202539e-17,1.75631491453673e-15,28.7516645055827
"YOR207C",8.02045188287955,8.1317225163335,159.018564136704,3.29642847192204e-17,1.75631491453673e-15,28.7464204891562
"YDL190C",7.06970651633495,7.16220724591845,151.952471681399,5.01753917955377e-17,1.75631491453673e-15,28.7456561851817
"YOR142W",7.14417479734129,7.18228598237883,152.247486343498,4.92839348942927e-17,1.75631491453673e-15,28.7429039004469
"YNL121C",8.22565865075096,8.21047507973119,160.918029548609,2.95379517670816e-17,1.75631491453673e-15,28.7427045308485
"YMR012W",9.61904066875446,9.77787326581517,178.970686606249,1.10551527467767e-17,1.75631491453673e-15,28.7421936131228
"YCL050C",8.42975064659848,7.88360431890895,162.721397360768,2.66468538045328e-17,1.75631491453673e-15,28.7304728796315
"YML031W",7.08050406437403,7.0203507029144,151.317556556357,5.21551809158254e-17,1.75631491453673e-15,28.7177628882537
"YNL330C",6.10245449570004,6.12286686011594,150.254864541439,5.56654888310557e-17,1.75631491453673e-15,28.7171368549145
"YLR422W",7.45769677485898,7.40712069176404,153.401028528429,4.59629173733113e-17,1.75631491453673e-15,28.7126699159709
"YEL058W",7.57842990989992,7.504303872742,154.213614809717,4.37725020070081e-17,1.75631491453673e-15,28.7095122714743
"YCR033W",6.99777564396837,7.07815230618321,150.62603885487,5.44105120013242e-17,1.75631491453673e-15,28.7041366729183
"YBR080C",7.42419824711177,7.33881020960523,152.927321946884,4.7295720921805e-17,1.75631491453673e-15,28.7033235292939
"YMR083W",9.23003516860495,9.20260556399702,171.775301676578,1.6154331611096e-17,1.75631491453673e-15,28.7023053298668
"YGL131C",6.28542672303784,6.2352559076079,149.458680584911,5.84670982823682e-17,1.75631491453673e-15,28.7010713027924
"YBR234C",7.36839423866502,7.27174774542809,152.469204372343,4.86255114207826e-17,1.75631491453673e-15,28.6997223246398
"YGL221C",6.6620141303564,6.55933705300969,149.407119782005,5.86538453697626e-17,1.75631491453673e-15,28.6948117962607
"YLR060W",8.77194584098089,8.98451411332039,165.49024710135,2.27990640057313e-17,1.75631491453673e-15,28.6945742759894
"YGL092W",7.99434204727874,8.23446629490936,157.236031340223,3.65841613925888e-17,1.75631491453673e-15,28.6932563346127
"YGL213C",6.25693463825418,6.27287638907203,149.188168169526,5.94542585191775e-17,1.75631491453673e-15,28.6875593652484
"YIL088C",6.3389461392425,6.3215437269834,148.943887833094,6.0361580101967e-17,1.75631491453673e-15,28.6821410629341
"YML075C",7.10675459103494,7.35567334063958,150.445116735325,5.5018266571737e-17,1.75631491453673e-15,28.6774415891404
"YPR023C",6.70738329663947,6.55282329756787,149.093445070147,5.98042787992127e-17,1.75631491453673e-15,28.6773885749689
"YFL024C",6.32085700880871,6.28762051007497,148.7965441348,6.09162660729637e-17,1.75631491453673e-15,28.6749730204597
"YDR093W",7.57092662526968,7.86348078131478,153.051144128666,4.69432527973101e-17,1.75631491453673e-15,28.6675511997739
"YPL226W",9.52983151104686,9.70518525341138,173.985463950342,1.43538710171085e-17,1.75631491453673e-15,28.6508865625782
"YOR230W",9.37263244361545,9.14294089330008,171.682373842449,1.6235333304767e-17,1.75631491453673e-15,28.6473676511944
"YBR039W",7.1464447718492,6.95616362016038,149.897705835521,5.69034240840514e-17,1.75631491453673e-15,28.6470551672891
"YPR089W",6.6459502400845,6.7267201037437,147.903936589105,6.43997357390314e-17,1.77829858519712e-15,28.6318634304688
"YCR004C",7.47350889080368,7.35576313688616,151.448257689138,5.17406577850962e-17,1.75631491453673e-15,28.6316718402989
"YOL130W",7.08965747734719,7.25674906618644,149.224411167176,5.9320934548734e-17,1.75631491453673e-15,28.6298417595616
"YNL287W",8.60467874472036,8.74629243698461,161.236167103204,2.90036302196112e-17,1.75631491453673e-15,28.6217544482133
"YGL167C",8.50771032140436,8.53495734190947,160.075749269445,3.10060149010178e-17,1.75631491453673e-15,28.6171782178112
"YJR064W",8.67543092462052,8.49328190629054,161.772858481104,2.81263465993727e-17,1.75631491453673e-15,28.6133838273796
"YDR238C",8.85238359654618,8.99890411470882,163.757119609447,2.51291162781319e-17,1.75631491453673e-15,28.6128082027792
"YKR018C",8.44103339089669,8.01655509407287,159.206531972173,3.26063123599071e-17,1.75631491453673e-15,28.6111101068261
"YBL058W",7.97825078841202,7.3778257393677,154.698459741816,4.2520798081741e-17,1.75631491453673e-15,28.6057403342251
"YNL216W",7.06859644989132,7.03503991288997,148.553566933641,6.18433505234825e-17,1.75631491453673e-15,28.605677715282
"YBR208C",7.15104986679593,7.29842778711812,148.883196026844,6.05893780050861e-17,1.75631491453673e-15,28.6039639614806
"YJL109C",9.11745764266679,9.30354142374316,166.406399713189,2.16648711744161e-17,1.75631491453673e-15,28.5944614655812
"YNR026C",5.93714885856932,5.81912275467078,147.957605789198,6.41841621090215e-17,1.77829858519712e-15,28.5941538570972
"YIL111W",6.35763406135119,5.70029326391675,146.77960800737,6.91054904912501e-17,1.78551701936319e-15,28.5898934719354
"YDL126C",10.7972501007805,10.3475385264638,189.073556533286,6.65456823241937e-18,1.75631491453673e-15,28.5896160122515
"YGR253C",8.06323363179638,7.51335715855404,154.883316529998,4.20540482148827e-17,1.75631491453673e-15,28.5861674683767
"YBR017C",7.80975491701366,7.9430833726232,152.675816458141,4.80207117090442e-17,1.75631491453673e-15,28.5828918966867
"YBR286W",9.97705401175517,9.96565444215638,177.158412237444,1.21456583095191e-17,1.75631491453673e-15,28.5826244933689
"YKL175W",6.94213285093005,6.85166025691582,147.375235926797,6.65667928842132e-17,1.78551701936319e-15,28.5766506975976
"YPL063W",7.04738578937598,7.16241703619893,147.715768187346,6.51619154986437e-17,1.78435045273786e-15,28.5741062569228
"YDR341C",8.26078120659809,8.76204614988465,156.340534727612,3.85672823751447e-17,1.75631491453673e-15,28.5737287282081
"YER049W",7.5585109169604,7.76812017335332,150.36716576176,5.52824355001147e-17,1.75631491453673e-15,28.5650976016012
"YMR313C",6.40343416306455,6.24710868342938,146.037583819646,7.24194356186737e-17,1.8305405034074e-15,28.5582486148131
"YLL029W",6.97284773771351,6.91827454526942,147.036226406905,6.79988034133794e-17,1.78551701936319e-15,28.5573174504439
"YPR097W",7.50904181028511,7.45303706216945,149.805522473962,5.72278696215034e-17,1.75631491453673e-15,28.5557645940894
"YMR146C",7.85525116929528,8.00095617572292,152.333921852947,4.90260844531675e-17,1.75631491453673e-15,28.5557520474242
"YHR074W",7.38245482323429,7.41595755937906,148.900130601045,6.05257208614885e-17,1.75631491453673e-15,28.5523760543955
"YIL142W",8.50097837790844,8.27046366042959,157.949444871524,3.50850366035402e-17,1.75631491453673e-15,28.5485258338629
"YLR143W",5.8870116873077,5.9201418369689,147.02440739113,6.80493402223229e-17,1.78551701936319e-15,28.5442670198032
"YBL079W",7.96514297632711,8.22908868741101,152.798499327529,4.76655386748612e-17,1.75631491453673e-15,28.5403892544933
"YPR029C",7.16481219953169,7.17535647571467,147.36450436846,6.66116085080247e-17,1.78551701936319e-15,28.5370850127086
"YCR026C",6.9210276917608,6.76746458013737,146.288631962739,7.12789211049199e-17,1.81723277111533e-15,28.5328589115494
"YGR198W",7.51181571709709,7.39481485282374,149.219391204605,5.9339381267847e-17,1.75631491453673e-15,28.5315292226741
"YDR135C",8.90845076439859,9.01150265146955,161.659446311646,2.83092526279571e-17,1.75631491453673e-15,28.528272419757
"YPR019W",6.81627860531402,6.98181267853528,145.774001073261,7.36387014701767e-17,1.83761371290666e-15,28.5232309239912
"YJL001W",7.87956618695694,7.26669044047996,151.672845557701,5.10368690240957e-17,1.75631491453673e-15,28.5230990106134
"YMR047C",7.44213567471673,7.50143421235607,148.495009518567,6.2069108498022e-17,1.75631491453673e-15,28.5204576560478
"YPR165W",8.34073812542497,8.30996720768396,155.568972816049,4.03717486881227e-17,1.75631491453673e-15,28.520213379651
"YDL073W",6.19406735336956,6.32106281087074,145.407345558674,7.53727545341469e-17,1.83761371290666e-15,28.5192774376029
"YKL140W",6.34105352113231,6.32307880211293,145.150618239758,7.66138401303143e-17,1.83761371290666e-15,28.5173381469237
"YKL181W",8.00954596815626,8.30147417926904,152.52107633365,4.84728810167531e-17,1.75631491453673e-15,28.5154994281993
"YOR168W",8.40166530834644,8.66865764672705,155.74235906397,3.99582418814032e-17,1.75631491453673e-15,28.5064624811193
"YEL025C",6.67680505161254,6.7958651192477,144.874638596138,7.79733100644566e-17,1.84443014075437e-15,28.4971736661452
"YDR164C",6.29215054029713,6.20700270358126,144.750873838803,7.8591636842083e-17,1.8446579904506e-15,28.4971534074273
"YGR123C",6.69043406125186,6.93718642903513,144.808857087966,7.8301279560327e-17,1.84443014075437e-15,28.4929601333641
"YEL013W",7.39616686807898,7.45865088892703,147.508296095183,6.60138922929113e-17,1.78551701936319e-15,28.4912518361505
"YJL156C",6.39680731476304,6.33197998443409,144.495858213162,7.9882896036803e-17,1.85317504239792e-15,28.4897742922776
"YDL040C",7.64719782216877,7.91265509530795,149.038398477682,6.00087353508859e-17,1.75631491453673e-15,28.4877713085281
"YDR349C",7.35861126410745,7.32357963059937,147.1986652061,6.73084302814839e-17,1.78551701936319e-15,28.487038178448
"YML081W",7.36353039588959,7.57343258122117,147.10716683098,6.76963425615694e-17,1.78551701936319e-15,28.4823868316243
"YKL057C",7.19264785663434,7.29900079018589,145.968663531251,7.27360686176598e-17,1.83149978143778e-15,28.471797466186
"YDR303C",6.77039008893995,6.73600601573014,144.456859767876,8.0082427273434e-17,1.85317504239792e-15,28.4697632686671
"YHR019C",8.62230841582116,9.2947294274479,156.703947847143,3.77484726954191e-17,1.75631491453673e-15,28.4663372019198
"YKR031C",7.20353785943339,7.18134750917106,145.864843318261,7.32159384927348e-17,1.83654636555058e-15,28.4653481349807
"YJL068C",6.55270207033008,6.11184919549437,143.959696499762,8.26751001736133e-17,1.86160383345512e-15,28.4638084038837
"YDR292C",6.75464156182905,6.96456553366852,144.263126850565,8.10818618271027e-17,1.86160383345512e-15,28.4627084656296
"YOR116C",8.25566882337125,8.43348699575335,153.164842658536,4.66221643968216e-17,1.75631491453673e-15,28.4618458810532
"YDR334W",7.77942368135158,7.41283235536054,149.256120098013,5.92045613432507e-17,1.75631491453673e-15,28.4582309680609
"YER027C",6.35271599601465,6.28803894039432,143.647364213004,8.43513989181644e-17,1.86160383345512e-15,28.450448108698
"YOR157C",7.84590255260303,7.27574771062716,149.374836890701,5.87711065876969e-17,1.75631491453673e-15,28.4436472570262
"YJR033C",6.55268930884764,6.52308808742299,143.380886124404,8.58114005856837e-17,1.86160383345512e-15,28.4376132504012
"YMR108W",8.62174131285767,8.76778349195608,155.757237969462,3.99229766002715e-17,1.75631491453673e-15,28.432986468638
"YGR124W",9.61879956948717,9.66518635844689,166.861744607671,2.11245296932678e-17,1.75631491453673e-15,28.4327848656095
"YGL097W",6.6735736346826,6.90419820192838,143.414910374367,8.56234356685536e-17,1.86160383345512e-15,28.4318908783159
"YGL011C",7.91362198185723,7.34919498946697,149.575936969714,5.8044857654069e-17,1.75631491453673e-15,28.4312884324029
"YHL030W",9.58114967198156,8.8808314805659,166.201355682673,2.19131762568862e-17,1.75631491453673e-15,28.4263262357931
"YPR191W",7.12222441582813,6.88318236775633,144.579408721414,7.94572708548019e-17,1.85174887963744e-15,28.4254704184301
"YMR027W",7.2187870716078,7.0383039890697,144.95196055489,7.75897476698721e-17,1.84443014075437e-15,28.422695864767
"YDR298C",6.75183754552113,6.67513079641211,143.251135293233,8.65324093405714e-17,1.86160383345512e-15,28.4173721514373
"YNR043W",7.37499006275854,7.6734813310346,145.62150042208,7.43545068812395e-17,1.83761371290666e-15,28.4164191535654
"YHR073W",7.36687985983926,7.40201668012547,145.478591987232,7.50322921564974e-17,1.83761371290666e-15,28.4118016656762
"YCR081W",6.27309897520357,6.18196536567911,142.851560544691,8.87953025868012e-17,1.88246041484018e-15,28.4100637322717
"YBR023C",7.99072472771033,8.05847985032679,149.622015293589,5.78798552218939e-17,1.75631491453673e-15,28.4098158864404
"YNL048W",5.96133692075627,6.06013369177397,143.584234940421,8.46947717809036e-17,1.86160383345512e-15,28.4077406258712
"YKL007W",7.04564451015311,6.67084799557344,143.792791000585,8.35662480877726e-17,1.86160383345512e-15,28.4035315522844
"YCR011C",7.92612730982305,7.77107283261102,148.951344524566,6.03336580154637e-17,1.75631491453673e-15,28.4033422686547
"YOR151C",9.33343501112712,9.26470215232497,162.482277122018,2.70115182438927e-17,1.75631491453673e-15,28.4030875491949
"YBR140C",8.6841772542437,8.79367596454636,155.419823935761,4.07312479881742e-17,1.75631491453673e-15,28.40151141484
"YDR212W",8.74026454319282,8.53220476696997,155.975268753255,3.94101462470625e-17,1.75631491453673e-15,28.4010495474579
"YDR308C",6.31450936273217,6.31309244299289,142.588113385531,9.03231128836939e-17,1.88901213986838e-15,28.4003998058264
"YJR065C",8.17124262346519,7.97285269810027,150.5676597749,5.46058024981584e-17,1.75631491453673e-15,28.3920741634374
"YNL123W",8.270809976054,8.05459975420296,151.324014120958,5.21346143284774e-17,1.75631491453673e-15,28.3883518659921
"YOR069W",6.16270217634631,5.94797314520353,142.488107477905,9.09106865404781e-17,1.88901213986838e-15,28.3849305617012
"YGR267C",6.69060444082873,6.8235101890331,142.393575292686,9.14699962766478e-17,1.88901213986838e-15,28.3838266292372
"YFL038C",7.89713556991662,7.81253583763172,148.164593490411,6.33602098616762e-17,1.77192893281249e-15,28.3811398689645
"YDR483W",8.2626616232543,8.36016850378886,151.02418995389,5.30990692534401e-17,1.75631491453673e-15,28.3800857201685
"YOR370C",7.69710107724029,7.72961618861549,146.712428751828,6.9398492516973e-17,1.78551701936319e-15,28.3787751956259
"YAL029C",7.93805248849065,7.93253166424925,148.389506688737,6.24781649397308e-17,1.75631491453673e-15,28.3777118350211
"YER008C",7.29640807373968,7.3642124928124,144.189475334316,8.14654368693397e-17,1.86160383345512e-15,28.3728611781362
"YGR167W",7.10947527320504,6.91093978145023,143.313951278173,8.6182514127208e-17,1.86160383345512e-15,28.3715580745103
"YCR073C",6.19709130219312,6.15275861321721,142.107930020119,9.31833481599692e-17,1.89012643242999e-15,28.3707038498768
"YKL212W",8.01625316638181,8.10945915125077,148.785508752528,6.09580363681213e-17,1.75631491453673e-15,28.3703835466528
"YDR272W",6.153228764685,5.97578159008846,142.182148442479,9.27347785136793e-17,1.89012643242999e-15,28.369954930211
"YGL238W",8.36006841265059,8.36288873554335,151.433179219541,5.17882928641418e-17,1.75631491453673e-15,28.3643886012616
"YHR108W",7.28920480517886,7.38334589977926,143.960425613999,8.26712304350808e-17,1.86160383345512e-15,28.3642648271432
"YIL125W",8.03694594956081,8.07220146931359,148.762678642176,6.10445519649432e-17,1.75631491453673e-15,28.3633971558295
"YKR071C",7.15875428504696,7.04459403565071,143.335264624406,8.60641517795256e-17,1.86160383345512e-15,28.3630279073449
