"","logFC","logCPM","F","PValue","FDR"
"YMR105C",2.85712636801757,7.54251398847962,225.874052710568,4.65783083307493e-08,3.05783193825786e-06
"YBR162C",-1.24846777834173,9.44401567630117,225.423967816762,4.70153872296037e-08,3.05783193825786e-06
"YLR167W",-2.16588944982776,11.1912892870679,220.892934637859,5.17036937004766e-08,3.26139411132247e-06
"YGR248W",3.79423492663641,5.32648467641257,220.830311978811,5.1785698554934e-08,3.26139411132247e-06
"YKR094C",-1.87023402504452,9.60750833311274,220.077167325898,5.26066108379921e-08,3.26139411132247e-06
"YHL015W",-1.90341795116042,10.6701477748273,219.835495103775,5.28777414933019e-08,3.26139411132247e-06
"YIR027C",1.98916174201972,4.61629224085409,219.383984761978,5.34014211518456e-08,3.26139411132247e-06
"YHL030W",1.15082750583094,9.52999195593992,217.933882041351,5.50709912514437e-08,3.27910679517261e-06
"YDR025W",-1.70198205595992,9.89914378673991,217.353030821892,5.57626787892916e-08,3.27910679517261e-06
"YLL045C",-2.11192820242954,10.3699412926089,217.336961934111,5.57819620467883e-08,3.27910679517261e-06
"YCL048W-A",4.73581496726643,1.77267455104925,219.745504316321,5.63105400129482e-08,3.27910679517261e-06
"YAL005C",2.81359601079342,13.2161737914726,211.734038467287,6.30249894287102e-08,3.62792123056299e-06
"YDR341C",-1.09186315184983,9.39168523311866,210.089532000085,6.53627286815034e-08,3.6562835242942e-06
"YBL043W",1.84046093304014,3.85552449723471,209.779310917435,6.5838242145123e-08,3.6562835242942e-06
"YKL127W",-1.20535014073344,7.81968946078286,209.11578173301,6.67962677517075e-08,3.6562835242942e-06
"YMR242C",-1.91939535598245,9.92003967120239,208.6643375504,6.74737023989428e-08,3.6562835242942e-06
"YGL156W",1.883284885006,6.7744260683214,208.628082170595,6.75286152497676e-08,3.6562835242942e-06
"YJR143C",-1.30720142020109,9.03597383335036,208.384209518211,6.78982363736743e-08,3.6562835242942e-06
"YMR229C",-1.20586313980551,10.3617109499363,207.640925337686,6.90403797561418e-08,3.67576999398436e-06
"YMR143W",-1.77495339837115,9.75834301678093,206.446996044659,7.09238789978817e-08,3.67576999398436e-06
"YMR266W",-0.935112533271372,8.76316504798194,204.988544775423,7.33094407913508e-08,3.67576999398436e-06
"YEL054C",-1.72730319850764,9.84227577478007,204.921771557839,7.3420954695667e-08,3.67576999398436e-06
"YDL081C",-1.91368589196297,9.92641218598418,204.777576462606,7.36624703293734e-08,3.67576999398436e-06
"YNL087W",-1.24704489713088,9.04068613180469,204.555450007063,7.40363933546134e-08,3.67576999398436e-06
"YER056C-A",-1.67262588829852,9.15164434292518,204.499030904861,7.41317320949844e-08,3.67576999398436e-06
"YHR087W",3.23311166601042,5.77023126340036,204.248399897301,7.45656375489382e-08,3.67576999398436e-06
"YGL123W",-2.00625655974122,11.4036489134949,204.067461722322,7.48659224014387e-08,3.67576999398436e-06
"YBR031W",-1.51042541194853,10.7345533833948,202.375472810241,7.78302519472244e-08,3.78421263836602e-06
"YER086W",-1.02913992890668,8.35553690076949,201.778981791446,7.89089018931559e-08,3.79976712193197e-06
