"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLL043W",6.71777270109963,6.72801446147632,154.517404423949,4.29835202897491e-17,2.04573114379255e-15,28.8836801392845
"YKL157W",8.42387536849219,8.50534672864298,169.263915890932,1.85101736548332e-17,2.04573114379255e-15,28.8822746252487
"YLR115W",6.10461115758885,6.17614044307312,153.804728584897,4.48598851187269e-17,2.04573114379255e-15,28.8791148937595
"YNL247W",8.07002816731842,8.1149345026679,164.75376329494,2.37586072395019e-17,2.04573114379255e-15,28.8728638643205
"YBL056W",7.14745279878318,7.5122853221191,156.217027347347,3.8850023685082e-17,2.04573114379255e-15,28.8670053263288
"YGL013C",7.11028838911,7.26702004596002,155.965728119203,3.94324334323804e-17,2.04573114379255e-15,28.8664869976686
"YPR091C",6.69795844115385,6.87364657588281,153.977045515645,4.43980218157352e-17,2.04573114379255e-15,28.864891867767
"YGL112C",6.51622299306641,6.56112063536646,153.31350582888,4.62060002130578e-17,2.04573114379255e-15,28.8589505452916
"YOR109W",7.33137252182458,7.46565795643513,157.269171568445,3.6512971238183e-17,2.04573114379255e-15,28.8560128500425
"YKL176C",7.34655593317313,7.26642847483926,157.362607398643,3.63130823055437e-17,2.04573114379255e-15,28.8549812812334
"YGR180C",9.01939618541653,8.90126225273905,176.572526748032,1.25233000796031e-17,2.04573114379255e-15,28.853643068504
"YFL036W",7.66453623939921,7.40075814407833,159.936036701036,3.12572592151454e-17,2.04573114379255e-15,28.8494090717719
"YBR082C",7.21465399508252,7.48613007871335,156.217347011634,3.88492889300184e-17,2.04573114379255e-15,28.8491726578588
"YGR125W",6.95629270265719,6.8065981583568,154.507301142337,4.30095050820326e-17,2.04573114379255e-15,28.8441839826128
"YDR234W",7.43169397870265,7.3737086769809,157.759379401617,3.54776638737566e-17,2.04573114379255e-15,28.8440978933913
"YDL073W",6.46228574418425,6.32106281087074,152.205593532075,4.94094480016752e-17,2.04573114379255e-15,28.818021562097
"YGL131C",6.38033328241886,6.2352559076079,152.068874192334,4.98215372029795e-17,2.04573114379255e-15,28.8165761204747
"YGR244C",7.05844883861893,6.90501359394726,154.226846013627,4.37378064864505e-17,2.04573114379255e-15,28.8113675203082
"YDR389W",7.07317455024,7.02405439465778,154.253149223954,4.36689233725623e-17,2.04573114379255e-15,28.8089304376085
"YOL038W",7.27912917484933,7.63637786126326,155.592185866457,4.03161142312419e-17,2.04573114379255e-15,28.807990036648
"YCL028W",7.08139294272863,7.13835143015179,154.126252213703,4.40023554947067e-17,2.04573114379255e-15,28.802254305179
"YJL054W",6.4154575872436,6.59022534801061,151.676069957111,5.10268423076518e-17,2.04573114379255e-15,28.7994783073272
"YMR129W",7.97296942620284,8.06897833120548,161.390449037488,2.87483726921841e-17,2.04573114379255e-15,28.7965888728369
"YOL145C",6.9460687616566,7.19088804143142,153.111535921951,4.67724003375538e-17,2.04573114379255e-15,28.7911091939965
"YCR077C",7.39860141856341,7.60214499391281,156.021263275991,3.93028974396263e-17,2.04573114379255e-15,28.7899831005463
"YML086C",6.78931513828804,7.02712800832895,151.929164149903,5.02465790168373e-17,2.04573114379255e-15,28.7698772872739
"YDR422C",6.57392589089581,6.55665354873866,151.249098679462,5.23737649694904e-17,2.04573114379255e-15,28.7696332584017
"YGL202W",8.38519576242848,8.62731152899479,164.999349461424,2.34337553734015e-17,2.04573114379255e-15,28.7681514338279
"YGL019W",6.42563022603813,6.51810355763628,150.897992197203,5.35109123897791e-17,2.04573114379255e-15,28.7667658867423
"YBR058C",6.78394261480884,6.90178750070767,151.797038885353,5.06522451832512e-17,2.04573114379255e-15,28.7652987176142
"YER025W",8.18712937516867,8.5249033035096,162.565292486122,2.6884294758249e-17,2.04573114379255e-15,28.7613955868287
"YIL137C",7.18924269944052,7.26818006634252,153.664189133711,4.52405181192032e-17,2.04573114379255e-15,28.7580243297299
"YHR132C",6.81441983661055,6.98116985088202,151.712912008188,5.09124316754572e-17,2.04573114379255e-15,28.7571710576946
"YER105C",8.27693502819601,8.14413324241149,162.793310326302,2.65382542771869e-17,2.04573114379255e-15,28.7369088470147
"YOR141C",6.48515522015755,6.60784658934307,150.251465426916,5.56771287932174e-17,2.04573114379255e-15,28.7355152457007
"YGL173C",9.28688956258605,9.46135569736792,175.861253261474,1.29993553226014e-17,2.04573114379255e-15,28.7338478896807
"YJL129C",7.31978995821685,7.20278473816066,153.945178246055,4.4483037408831e-17,2.04573114379255e-15,28.7336811183559
