"","logFC","logCPM","F","PValue","FDR"
"YPL220W",-2.0763320328323,9.51694240182757,312.433806068643,1.65355486204082e-08,2.78645193675186e-06
"YBR010W",-1.97633400658119,7.78238218253293,306.960127256035,1.79222127203815e-08,2.94461954995868e-06
"YMR006C",-1.81168311150834,6.64240763640558,301.689657538085,1.93929898633218e-08,3.10855437516466e-06
"YGR256W",2.95373166204224,4.30600883216673,293.979212535749,2.18254382198662e-08,3.41516142811812e-06
"YJL116C",2.51758238645923,6.29644196678634,292.113251944746,2.2459480830147e-08,3.43264437245875e-06
"YCL035C",1.36228980491099,6.5658761607179,288.721140902907,2.36847712052746e-08,3.48280371042008e-06
"YDR453C",2.20121095298811,4.84953389141814,288.290429366202,2.3847560403059e-08,3.48280371042008e-06
"YFL044C",1.92145759394155,4.7074767075427,285.289225161784,2.50084370051358e-08,3.53307255527506e-06
"YER110C",-1.7980752832548,9.77031909606467,284.498499759897,2.53255582914154e-08,3.53307255527506e-06
"YDR382W",-1.94171575728998,9.31247786010338,282.433687639089,2.61780141523943e-08,3.53307255527506e-06
"YOR020C",1.87646088749906,9.12199792830066,280.908232251583,2.68302317722232e-08,3.53307255527506e-06
"YKL151C",1.80829142280891,5.85062552815635,280.7944697375,2.68797364217518e-08,3.53307255527506e-06
"YHR019C",-1.40573772416854,9.41074084417581,279.219321911849,2.75754908973072e-08,3.553453454453e-06
"YBL003C",-2.01066348417328,7.20786526753029,274.96104960318,2.95690226616978e-08,3.73706955639765e-06
"YBR053C",1.24873941447504,6.41741764869886,273.075678948779,3.05073425627971e-08,3.78291047778684e-06
"YNL281W",1.61736393870348,8.24240961339413,268.967900998123,3.2679928744187e-08,3.97726836494068e-06
"YIL121W",-1.16461926146938,6.11630049913606,267.594333107503,3.34480398400477e-08,3.99673668779625e-06
"YOR135C",1.93817758258016,4.92845351222363,265.689137447884,3.45503703274537e-08,4.05473274628618e-06
"YDL021W",2.42932175472003,4.70786514247406,263.667238197173,3.57740730995485e-08,4.12468786684619e-06
"YKR076W",1.65842319853548,5.18424117566466,260.464497046357,3.78062234266809e-08,4.27133918911982e-06
"YER037W",2.80516075416294,5.17032523794293,259.659879287727,3.83458630794384e-08,4.27133918911982e-06
"YBR121C-A",-1.33893837482604,8.21563382239031,257.18452896977,4.00409840592117e-08,4.29315549053941e-06
"YJR123W",-2.10689534956771,10.7666384151372,256.622492507805,4.043988922185e-08,4.29315549053941e-06
"YOR335C",-1.25380743458701,9.61538085371412,256.198633480844,4.07439182004888e-08,4.29315549053941e-06
"YOR136W",1.96657285254795,9.03927200686949,255.631982612315,4.11547163578793e-08,4.29315549053941e-06
"YCL026C-B",2.06868157379221,3.95456944651402,251.995115095341,4.39222167943773e-08,4.51026263707262e-06
"YLR270W",1.00813546645338,6.15697122815774,250.617309681065,4.50182727722131e-08,4.55169367167668e-06
"YHR208W",-2.30564981696835,7.23583344376994,246.392565961236,4.86193034087173e-08,4.84130396972864e-06
"YML073C",-1.84359407366704,9.15658651273862,243.799946806744,5.10026851283269e-08,4.90079732010167e-06
"YPL131W",-1.95410777978957,11.1763293153667,243.439391942832,5.13452688636781e-08,4.90079732010167e-06
"YAL060W",1.38844691770114,6.62818003511934,243.325710764015,5.14538976091015e-08,4.90079732010167e-06
"YJL052W",2.79047257568422,9.50187201806811,240.147832815158,5.46055238321078e-08,5.12667860892304e-06
"YER131W",-1.81215368924213,8.98767528057903,234.035132378424,6.1353639711813e-08,5.67910028431035e-06
"YBR054W",2.64200705272847,8.51493155818754,229.540628356169,6.69681775596551e-08,6.04891937216107e-06
"YDL171C",-1.61256912063206,9.4508325132679,229.372695581012,6.71897617418987e-08,6.04891937216107e-06
"YGL147C",-2.46612869356035,9.76164282091696,228.399527114179,6.84916312502167e-08,6.06222277733649e-06
"YER086W",-1.05167918873402,7.79933115337301,227.8922441178,6.91823962720994e-08,6.06222277733649e-06
"YBR006W",1.15691008744408,5.54745763430879,226.076302730128,7.17256779337046e-08,6.20238362342509e-06
"YOR173W",2.23833816020771,4.37519891053833,221.779134142567,7.8221832115984e-08,6.67628416449671e-06
"YBR084W",-1.11089743784704,8.86708380085208,219.353869643789,8.21838195581219e-08,6.87454803687057e-06
"YMR106W-A",3.01106079681002,4.78261858948033,218.944617815143,8.28929278002535e-08,6.87454803687057e-06
"YKL180W",-1.96071514346142,9.60470615983621,218.013212760512,8.44857861032796e-08,6.87454803687057e-06
"YIR027C",1.90429149829801,4.06295549525981,217.867245774536,8.47595436724498e-08,6.87454803687057e-06
"YBR162C",-1.27316983507127,8.8953546278766,217.18643952216,8.59444370169675e-08,6.87454803687057e-06
"YOL040C",-1.90364405305624,10.0172296961356,216.133891490239,8.78458994941067e-08,6.87454803687057e-06
"YMR105C",2.84366232306218,6.98656914843006,214.482093850762,9.09340946151471e-08,6.87454803687057e-06
"YJL034W",1.53860508939328,10.9373553590302,214.020571664865,9.18202398369823e-08,6.87454803687057e-06
"YGL156W",1.88121901784337,6.21849105728247,213.971592666664,9.19150955398962e-08,6.87454803687057e-06
"YCL048W-A",4.67276410780423,1.19907331967735,216.982581342055,9.28933497162985e-08,6.87454803687057e-06
"YIL078W",-1.28691971263426,9.70840991982549,213.463952107403,9.29031142482089e-08,6.87454803687057e-06
"YKL182W",-1.64695090816988,11.6358892036914,213.365021622853,9.30971964822704e-08,6.87454803687057e-06
"YOR133W",-1.97788663939311,11.5598318670825,212.411638780414,9.49930025262719e-08,6.93660014002955e-06
"YLR214W",-1.72046842516024,7.78483028384993,207.250946067091,1.06108121570287e-07,7.51834858507387e-06
"YHL030W",1.13513125056525,8.97386575047409,206.897747609267,1.06925061881477e-07,7.51834858507387e-06
"YLL045C",-2.1304988052309,9.80305489319775,206.829197571402,1.0708450136082e-07,7.51834858507387e-06
"YBR249C",-1.32147896458394,8.20153152354962,206.635870662022,1.07535722306291e-07,7.51834858507387e-06
"YML063W",-2.10441834284175,10.5172114492913,204.389892069014,1.12950668029284e-07,7.77311044645076e-06
"YMR266W",-0.947709404795458,8.2083856564409,204.151307038604,1.13545131293255e-07,7.77311044645076e-06
"YKL127W",-1.22006227960572,7.26998914277904,202.41687487151,1.1798273953319e-07,7.84131758545683e-06
"YLR249W",-1.59913782001796,12.9625095532917,202.144746913205,1.18697929070287e-07,7.84131758545683e-06
"YHL015W",-1.92543699417697,10.0905799844643,201.308966638197,1.20927680704696e-07,7.84131758545683e-06
"YPR102C",-1.9655420897304,9.31435975705891,200.595483107226,1.22871491840886e-07,7.84131758545683e-06
"YJR096W",1.34544870507578,5.7414628198181,200.490825114551,1.2316008450663e-07,7.84131758545683e-06
"YDL223C",1.83901298507292,5.63415507963735,200.469070640667,1.23220287518974e-07,7.84131758545683e-06
"YGR248W",3.81559836349915,4.7778717824177,200.202697203035,1.23995121961936e-07,7.84131758545683e-06
"YPR124W",-1.06680873976072,7.57897648960461,200.156405119101,1.24086583823419e-07,7.84131758545683e-06
"YHR137W",2.10300190919426,7.10745247709274,198.799016884529,1.27936337387552e-07,8.00759627915233e-06
"YOL143C",-1.31869780713568,6.6462606789667,198.152721693259,1.29820173922286e-07,8.04885078318171e-06
"YMR090W",1.48456932447281,5.24330090645268,196.108225726049,1.36005931624057e-07,8.26270935253641e-06
"YLR167W",-2.18473608441331,10.641815120354,195.991972678198,1.36367622206587e-07,8.26270935253641e-06
"YMR242C",-1.93500229788027,9.35472706882606,195.321300003899,1.38480942284219e-07,8.26270935253641e-06
"YBL043W",1.80139740262167,3.29323061400029,195.235548589262,1.38802114667688e-07,8.26270935253641e-06
"YJR143C",-1.33050266653589,8.49079984593851,194.984936115469,1.39555803124093e-07,8.26270935253641e-06
"YLR247C",0.896699230773156,7.43029910059766,193.847677685533,1.43265732924633e-07,8.28387545319715e-06
"YKR094C",-1.88411760545862,9.08273923022456,193.781333710021,1.43485810233187e-07,8.28387545319715e-06
"YGR027C",-1.82927038696895,9.28176454264949,193.215363388872,1.45380199313373e-07,8.28387545319715e-06
"YPL231W",-1.41661850977693,11.0891363704007,193.152090458285,1.45593862556879e-07,8.28387545319715e-06
"YDR341C",-1.10930031780248,8.83783411361944,192.920140537826,1.46380400303813e-07,8.28387545319715e-06
"YKL161C",1.50958888088283,5.11223137920095,192.376692366233,1.48244497919e-07,8.28387545319715e-06
"YHR087W",3.19053736848434,5.22670333128026,192.011405032434,1.49532016034558e-07,8.28387545319715e-06
"YOL120C",-2.01608545647055,9.99843250327482,191.872695603916,1.49997136173229e-07,8.28387545319715e-06
"YJL088W",3.46682617712438,4.23737566620196,190.952488055739,1.53342156908412e-07,8.39803879335071e-06
"YDL081C",-1.92503982462043,9.3828263905768,190.232784570151,1.55880047646262e-07,8.4664766374482e-06
"YMR229C",-1.22909807734219,9.80906588529998,189.70692346692,1.57825528784224e-07,8.5018801243436e-06
"YMR143W",-1.79801598871298,9.20231018846341,187.849547268784,1.64937195268775e-07,8.81274184801943e-06
"YBR031W",-1.52669919397441,10.1970539065258,187.382129317504,1.66787744297105e-07,8.83975044774656e-06
"YOR175C",-1.08742212665365,7.39586776140197,186.138817930391,1.71834205074171e-07,9.0343551659796e-06
"YEL054C",-1.74430347924706,9.29336955695811,185.281955883999,1.75420151872898e-07,9.14969236594196e-06
"YPR002W",2.05064437057707,4.09189504709256,184.654233247859,1.78131055276353e-07,9.21793145886765e-06
"YGL123W",-2.02794155453681,10.8597677468901,183.924250151019,1.81290040062563e-07,9.25541327285667e-06
"YMR142C",-2.10776236714486,9.5667281492946,183.815214902711,1.8177170827645e-07,9.25541327285667e-06
"YDR025W",-1.71941015415142,9.36848303620152,183.394571063888,1.83644528610497e-07,9.25541327285667e-06
"YNL247W",-0.942761751901971,8.16772550300766,183.206686710412,1.8448860906029e-07,9.25541327285667e-06
"YNL087W",-1.26430858258153,8.49350018165672,182.841383306668,1.86143257792305e-07,9.26767795614413e-06
"YNL015W",1.45484304822245,5.41953587847496,179.228357290517,2.03519457728855e-07,1.00566156104815e-05
"YKR059W",-1.52947349120545,10.312374427887,178.844252504482,2.05479256265039e-07,1.00776841207003e-05
"YAL005C",2.79037257405657,12.650432835205,178.266318240514,2.08472821441492e-07,1.00821026830634e-05
"YHR096C",2.49039019595823,3.87798088248954,178.246234294335,2.08637547914885e-07,1.00821026830634e-05
"YML130C",1.3274201356255,8.20817103587545,176.648564948024,2.17138308969649e-07,1.04162990259017e-05
"YOR377W",-1.29102287322508,6.22466157246172,176.10795096629,2.20131329055867e-07,1.04833557576461e-05
"YER056C-A",-1.67309549685368,8.61702508265389,175.366874595128,2.24315514459787e-07,1.06057666261131e-05
"YBR244W",-1.6752396962248,6.00310136568281,173.805089069467,2.3345481888485e-07,1.08878129410271e-05
"YMR174C",1.63072935713368,3.81508977798073,173.787655189836,2.33594282514429e-07,1.08878129410271e-05
"YGR094W",-1.38459103914628,10.247278467785,173.032758641167,2.38140678448315e-07,1.10215530898755e-05
"YOR120W",1.41660083069904,5.35962451917225,172.708364969328,2.40143880269414e-07,1.10365425253887e-05
"YDR234W",-0.865816321454234,7.41734756125442,171.445156173275,2.48137398251203e-07,1.12691885451947e-05
"YLR441C",-1.72517472375862,10.106027987193,171.368088614238,2.48635474597266e-07,1.12691885451947e-05
